model,accuracy,f1_macro,f1_weighted
cnn_baseline,0.9795918367346939,0.9795395081109367,0.9795395081109367
cnn_transfer,0.9693877551020408,0.9692830978545264,0.9692830978545265
vit,0.9591836734693877,0.9587061747776033,0.9587061747776034
